,Symbol,Identifier,Company,ISIN
2533,LALPATHLAB,LALPATHLABEQN,Dr. Lal Path Labs Ltd.,INE600L01024
2534,JSL,JSLEQN,Jindal Stainless Limited,INE220G01021
2535,AUROPHARMA,AUROPHARMAEQN,Aurobindo Pharma Limited,INE406A01037
2536,DEN,DENEQN,Den Networks Limited,INE947J01015
2537,BIOCON,BIOCONEQN,Biocon Limited,INE376G01013
2538,GATEWAY,GATEWAYEQN,Gateway Distriparks Limited,INE079J01017
2539,PATANJALI,PATANJALIEQN,Patanjali Foods Limited,INE619A01035
2540,RAINBOW,RAINBOWEQN,Rainbow Childrens Medicare Limited,INE961O01016
2541,ISGEC,ISGECEQN,Isgec Heavy Engineering Limited,INE858B01029
2542,SAGCEM,SAGCEMEQN,Sagar Cements Limited,INE229C01021
2543,CENTURYTEX,CENTURYTEXEQN,Century Textiles & Industries Limited,INE055A01016
2544,INDUSINDBK,INDUSINDBKEQN,IndusInd Bank Limited,INE095A01012
2545,PNB,PNBEQN,Punjab National Bank,INE160A01022
2546,BANKBARODA,BANKBARODAEQN,Bank of Baroda,INE028A01039
2547,ACC,ACCEQN,ACC Limited,INE012A01025
2548,INDIANB,INDIANBEQN,Indian Bank,INE562A01011
2549,CANBK,CANBKEQN,Canara Bank,INE476A01022
2550,BAJAJCON,BAJAJCONEQN,Bajaj Consumer Care Limited,INE933K01021
2551,JISLJALEQS,JISLJALEQSEQN,Jain Irrigation Systems Limited,INE175A01038
2552,NESCO,NESCOEQN,Nesco Limited,INE317F01035
2553,BARBEQUE,BARBEQUEEQN,Barbeque Nation Hospitality Limited,INE382M01027
2554,SENCO,SENCOEQN,Senco Gold Limited,INE602W01019
2555,EDELWEISS,EDELWEISSEQN,Edelweiss Financial Services Limited,INE532F01054
2556,EIDPARRY,EIDPARRYEQN,EID Parry India Limited,INE126A01031
2557,GRASIM,GRASIMEQN,Grasim Industries Limited,INE047A01021
2558,GHCL,GHCLEQN,GHCL Limited,INE539A01019
2559,TIDEWATER,TIDEWATEREQN,Tide Water Oil Company (India) Limited,INE484C01030
2560,SBFC,SBFCEQN,SBFC Finance Limited,INE423Y01016
2561,JBMA,JBMAEQN,JBM Auto Limited,INE927D01044
2562,TCS,TCSEQN,Tata Consultancy Services Limited,INE467B01029
2563,POLYCAB,POLYCABEQN,Polycab India Limited,INE455K01017
2564,TORNTPOWER,TORNTPOWEREQN,Torrent Power Limited,INE813H01021
2565,ALOKINDS,ALOKINDSEQN,Alok Industries Limited,INE270A01029
2566,BAJAJHIND,BAJAJHINDEQN,Bajaj Hindusthan Sugar Limited,INE306A01021
2567,MANYAVAR,MANYAVAREQN,Vedant Fashions Limited,INE825V01034
2568,BHEL,BHELEQN,Bharat Heavy Electricals Limited,INE257A01026
2569,ASIANPAINT,ASIANPAINTEQN,Asian Paints Limited,INE021A01026
2570,HAL,HALEQN,Hindustan Aeronautics Limited,INE066F01020
2571,HIKAL,HIKALEQN,Hikal Limited,INE475B01022
2572,GABRIEL,GABRIELEQN,Gabriel India Limited,INE524A01029
2573,APLAPOLLO,APLAPOLLOEQN,APL Apollo Tubes Limited,INE702C01027
2574,GPPL,GPPLEQN,Gujarat Pipavav Port Limited,INE517F01014
2575,ICICIBANK,ICICIBANKEQN,ICICI Bank Limited,INE090A01021
2576,ASAHIINDIA,ASAHIINDIAEQN,Asahi India Glass Limited,INE439A01020
2577,STYLAMIND,STYLAMINDEQN,Stylam Industries Limited,INE239C01020
2578,RTNINDIA,RTNINDIAEQN,RattanIndia Enterprises Limited,INE834M01019
2579,VBL,VBLEQN,Varun Beverages Limited,INE200M01021
2580,PSPPROJECT,PSPPROJECTEQN,PSP Projects Limited,INE488V01015
2581,GAEL,GAELEQN,Gujarat Ambuja Exports Limited,INE036B01030
2582,DRREDDY,DRREDDYEQN,Dr. Reddy's Laboratories Limited,INE089A08051
2583,CENTRALBK,CENTRALBKEQN,Central Bank of India,INE483A01010
2584,TEGA,TEGAEQN,Tega Industries Limited,INE011K01018
2585,GREAVESCOT,GREAVESCOTEQN,Greaves Cotton Limited,INE224A01026
2586,PAISALO,PAISALOEQN,Paisalo Digital Limited,INE420C01059
2587,TATAELXSI,TATAELXSIEQN,Tata Elxsi Limited,INE670A01012
2588,SAMMAANCAP,SAMMAANCAPEQN,Sammaan Capital Limited,INE148I07NN5
2589,RESPONIND,RESPONINDEQN,Responsive Industries Limited,INE688D01026
2590,PNBHOUSING,PNBHOUSINGEQN,PNB Housing Finance Limited,INE572E01012
2591,HEROMOTOCO,HEROMOTOCOEQN,Hero MotoCorp Limited,INE158A01026
2592,POWERGRID,POWERGRIDEQN,Power Grid Corporation of India Limited,INE752E01010
2593,BLUEDART,BLUEDARTEQN,Blue Dart Express Limited,INE233B08103
2594,KAYNES,KAYNESEQN,Kaynes Technology India Limited,INE918Z01012
2595,IPL,IPLEQN,India Pesticides Limited,INE0D6701023
2596,IGL,IGLEQN,Indraprastha Gas Limited,INE203G01027
2597,DELTACORP,DELTACORPEQN,Delta Corp Limited,INE124G01033
2598,RRKABEL,RRKABELEQN,R R Kabel Limited,INE777K01022
2599,MAHABANK,MAHABANKEQN,Bank of Maharashtra,INE457A01014
2600,ASKAUTOLTD,ASKAUTOLTDEQN,ASK Automotive Limited,INE491J01022
2601,AMIORG,AMIORGEQN,Ami Organics Limited,INE00FF01017
2602,FINCABLES,FINCABLESEQN,Finolex Cables Limited,INE235A01022
2603,AMBUJACEM,AMBUJACEMEQN,Ambuja Cements Limited,INE079A01024
2604,ABFRL,ABFRLEQN,Aditya Birla Fashion and Retail Limited,INE647O13016
2605,IRCTC,IRCTCEQN,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020
2606,GRWRHITECH,GRWRHITECHEQN,Garware Hi-Tech Films Limited,INE291A01017
2607,RELIGARE,RELIGAREEQN,Religare Enterprises Limited,INE621H01010
2608,PGHH,PGHHEQN,Procter & Gamble Hygiene and Health Care Limited,INE179A01014
2609,M&MFIN,M&MFINEQN,Mahindra & Mahindra Financial Services Limited,INE774D08MG3
2610,TITAGARH,TITAGARHEQN,TITAGARH RAIL SYSTEMS LIMITED,INE615H01020
2611,SBIN,SBINEQN,State Bank of India,INE062A01020
2612,GSFC,GSFCEQN,Gujarat State Fertilizers & Chemicals Limited,INE026A01025
2613,PERSISTENT,PERSISTENTEQN,Persistent Systems Limited,INE262H01021
2614,GLENMARK,GLENMARKEQN,Glenmark Pharmaceuticals Limited,INE935A01035
2615,BECTORFOOD,BECTORFOODEQN,Mrs. Bectors Food Specialities Limited,INE495P01012
2616,FORTIS,FORTISEQN,Fortis Healthcare Limited,INE061F13018
2617,SSWL,SSWLEQN,Steel Strips Wheels Limited,INE802C01033
2618,YESBANK,YESBANKEQN,Yes Bank Limited,INE528G01035
2619,TRENT,TRENTEQN,Trent Limited,INE849A13017
2620,AARTIDRUGS,AARTIDRUGSEQN,Aarti Drugs Limited,INE767A01016
2621,MARUTI,MARUTIEQN,Maruti Suzuki India Limited,INE585B01010
2622,TTKPRESTIG,TTKPRESTIGEQN,TTK Prestige Limited,INE690A01028
2623,POLICYBZR,POLICYBZREQN,PB Fintech Limited,INE417T01026
2624,BIKAJI,BIKAJIEQN,Bikaji Foods International Limited,INE00E101023
2625,WABAG,WABAGEQN,VA Tech Wabag Limited,INE956G01038
2626,CMSINFO,CMSINFOEQN,CMS Info Systems Limited,INE925R01014
2627,REDINGTON,REDINGTONEQN,Redington Limited,INE891D01026
2628,WELCORP,WELCORPEQN,Welspun Corp Limited,INE191B01025
2629,INDIAMART,INDIAMARTEQN,Indiamart Intermesh Limited,INE933S01016
2630,DALMIASUG,DALMIASUGEQN,Dalmia Bharat Sugar and Industries Limited,INE495A01022
2631,SIEMENS,SIEMENSEQN,Siemens Limited,INE003A01024
2632,RENUKA,RENUKAEQN,Shree Renuka Sugars Limited,INE087H01022
2633,ALLCARGO,ALLCARGOEQN,Allcargo Logistics Limited,INE418H01029
2634,UFLEX,UFLEXEQN,UFLEX Limited,INE516A01017
2635,SUDARSCHEM,SUDARSCHEMEQN,Sudarshan Chemical Industries Limited,INE659A01023
2636,HEMIPROP,HEMIPROPEQN,Hemisphere Properties India Limited,INE0AJG01018
2637,SUMICHEM,SUMICHEMEQN,Sumitomo Chemical India Limited,INE258G01013
2638,ITI,ITIEQN,ITI Limited,INE248A01017
2639,TCNSBRANDS,TCNSBRANDSEQN,TCNS Clothing Co. Limited,INE778U01029
2640,INDIGO,INDIGOEQN,InterGlobe Aviation Limited,INE646L01027
2641,GALAXYSURF,GALAXYSURFEQN,Galaxy Surfactants Limited,INE600K01018
2642,SHOPERSTOP,SHOPERSTOPEQN,Shoppers Stop Limited,INE498B01024
2643,RELIANCE,RELIANCEEQN,Reliance Industries Limited,INE002A01018
2644,INDIGOPNTS,INDIGOPNTSEQN,Indigo Paints Limited,INE09VQ01012
2645,NTPC,NTPCEQN,NTPC Limited,INE733E07JH3
2646,RALLIS,RALLISEQN,Rallis India Limited,INE613A01020
2647,SPANDANA,SPANDANAEQN,Spandana Sphoorty Financial Limited,INE572J01011
2648,ISEC,ISECEQN,ICICI Securities Limited,INE763G01038
2649,TVSSCS,TVSSCSEQN,TVS Supply Chain Solutions Limited,INE395N01027
2650,MSUMI,MSUMIEQN,Motherson Sumi Wiring India Limited,INE0FS801015
2651,JUBLINGREA,JUBLINGREAEQN,Jubilant Ingrevia Limited,INE0BY001018
2652,EASEMYTRIP,EASEMYTRIPEQN,Easy Trip Planners Limited,INE07O001026
2653,ELGIEQUIP,ELGIEQUIPEQN,Elgi Equipments Limited,INE285A01027
2654,MOIL,MOILEQN,MOIL Limited,INE490G01020
2655,HONAUT,HONAUTEQN,Honeywell Automation India Limited,INE671A01010
2656,WHIRLPOOL,WHIRLPOOLEQN,Whirlpool of India Limited,INE716A01013
2657,VTL,VTLEQN,Vardhman Textiles Limited,INE825A01020
2658,DHANI,DHANIEQN,Dhani Services Limited,INE274G01010
2659,SHYAMMETL,SHYAMMETLEQN,Shyam Metalics and Energy Limited,INE810G01011
2660,SUZLON,SUZLONEQN,Suzlon Energy Limited,INE040H01021
2661,CDSL,CDSLEQN,Central Depository Services (India) Limited,INE736A01011
2662,GODREJIND,GODREJINDEQN,Godrej Industries Limited,INE233A01035
2663,GODREJPROP,GODREJPROPEQN,Godrej Properties Limited,INE484J01027
2664,FACT,FACTEQN,Fertilizers and Chemicals Travancore Limited,INE188A01015
2665,PCBL,PCBLEQN,PCBL LIMITED,INE602A01031
2666,AVALON,AVALONEQN,Avalon Technologies Limited,INE0LCL01028
2667,KFINTECH,KFINTECHEQN,Kfin Technologies Limited,INE138Y01010
2668,PARADEEP,PARADEEPEQN,Paradeep Phosphates Limited,INE088F01024
2669,IRB,IRBEQN,IRB Infrastructure Developers Limited,INE821I01022
2670,AEGISLOG,AEGISLOGEQN,Aegis Logistics Limited,INE208C01025
2671,DREAMFOLKS,DREAMFOLKSEQN,Dreamfolks Services Limited,INE0JS101016
2672,CIEINDIA,CIEINDIAEQN,CIE Automotive India Limited,INE536H01010
2673,SUPRAJIT,SUPRAJITEQN,Suprajit Engineering Limited,INE399C01030
2674,TRIDENT,TRIDENTEQN,Trident Limited,INE064C01022
2675,NETWEB,NETWEBEQN,Netweb Technologies India Limited,INE0NT901020
2676,TECHNOE,TECHNOEBEN,Techno Electric & Engineering Company Limited,INE285K01026
2677,SEQUENT,SEQUENTEQN,Sequent Scientific Limited,INE807F01027
2678,AHLUCONT,AHLUCONTEQN,Ahluwalia Contracts (India) Limited,INE758C01029
2679,ORIENTELEC,ORIENTELECEQN,Orient Electric Limited,INE142Z01019
2680,LATENTVIEW,LATENTVIEWEQN,Latent View Analytics Limited,INE0I7C01011
2681,NAVNETEDUL,NAVNETEDULEQN,Navneet Education Limited,INE060A01024
2682,HINDPETRO,HINDPETROEQN,Hindustan Petroleum Corporation Limited,INE169701013
2683,SBCL,SBCLEQN,Shivalik Bimetal Controls Limited,INE386D01027
2684,VMART,VMARTEQN,V-Mart Retail Limited,INE665J01013
2685,CARBORUNIV,CARBORUNIVEQN,Carborundum Universal Limited,INE120A01034
2686,JBCHEPHARM,JBCHEPHARMEQN,JB Chemicals & Pharmaceuticals Limited,INE572A01036
2687,IDFC,IDFCEQN,IDFC Limited,INE043D07AE5
2688,TIRUMALCHM,TIRUMALCHMEQN,Thirumalai Chemicals Limited,INE338A01024
2689,NEWGEN,NEWGENEQN,Newgen Software Technologies Limited,INE619B01017
2690,TIPSINDLTD,TIPSINDLTDEQN,TIPS Industries Limited,INE716B01029
2691,GLAND,GLANDEQN,Gland Pharma Limited,INE068V01023
2692,PHOENIXLTD,PHOENIXLTDEQN,The Phoenix Mills Limited,INE211B01039
2693,CHALET,CHALETEQN,Chalet Hotels Limited,INE427F01016
2694,AZAD,AZADEQN,Azad Engineering Limited,INE02IJ01035
2695,NATCOPHARM,NATCOPHARMEQN,Natco Pharma Limited,INE987B01026
2696,BPCL,BPCLEQN,Bharat Petroleum Corporation Limited,INE029A01011
2697,SUPRIYA,SUPRIYAEQN,Supriya Lifescience Limited,INE07RO01027
2698,MFSL,MFSLEQN,Max Financial Services Limited,INE180A01020
2699,FLAIR,FLAIREQN,Flair Writing Industries Limited,INE00Y201027
2700,KPITTECH,KPITTECHEQN,KPIT Technologies Limited,INE04I401011
2701,UNIPARTS,UNIPARTSEQN,Uniparts India Limited,INE244O01017
2702,JIOFIN,JIOFINEQN,Jio Financial Services Limited,INE758E01017
2703,DISHTV,DISHTVEQN,Dish TV India Limited,INE836F01026
2704,PRSMJOHNSN,PRSMJOHNSNEQN,Prism Johnson Limited,INE010A01011
2705,PIDILITIND,PIDILITINDEQN,Pidilite Industries Limited,INE318A01026
2706,SUNTV,SUNTVEQN,Sun TV Network Limited,INE424H01027
2707,BBTC,BBTCEQN,Bombay Burmah Trading Corporation Limited,INE050A01025
2708,ATGL,ATGLEQN,Adani Total Gas Limited,INE399L01023
2709,ASHOKA,ASHOKAEQN,Ashoka Buildcon Limited,INE442H01029
2710,RBA,RBAEQN,Restaurant Brands Asia Limited,INE07T201019
2711,BAJAJFINSV,BAJAJFINSVEQN,Bajaj Finserv Limited,INE918I01026
2712,GAIL,GAILEQN,GAIL (India) Limited,INE129A01019
2713,CUB,CUBEQN,City Union Bank Limited,INE491A01021
2714,HDFCAMC,HDFCAMCEQN,HDFC Asset Management Company Limited,INE127D01025
2715,OPTIEMUS,OPTIEMUSEQN,Optiemus Infracom Limited,INE350C01017
2716,DBL,DBLEQN,Dilip Buildcon Limited,INE917M01012
2717,TRIVENI,TRIVENIEQN,Triveni Engineering & Industries Limited,INE256C01024
2718,CLEAN,CLEANEQN,Clean Science and Technology Limited,INE227W01023
2719,GLAXO,GLAXOEQN,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016
2720,ACI,ACIEQN,Archean Chemical Industries Limited,INE128X01021
2721,PTC,PTCEQN,PTC India Limited,INE877F01012
2722,CYIENTDLM,CYIENTDLMEQN,Cyient DLM Limited,INE055S01018
2723,NCC,NCCEQN,NCC Limited,INE868B01028
2724,HONASA,HONASAEQN,Honasa Consumer Limited,INE0J5401028
2725,TECHM,TECHMEQN,Tech Mahindra Limited,INE669C01036
2726,MAHLIFE,MAHLIFEEQN,Mahindra Lifespace Developers Limited,INE813A01018
2727,CARERATING,CARERATINGEQN,CARE Ratings Limited,INE752H01013
2728,LAOPALA,LAOPALAEQN,La Opala RG Limited,INE059D01020
2729,CEATLTD,CEATLTDEQN,CEAT Limited,INE482A01020
2730,AWL,AWLEQN,Adani Wilmar Limited,INE699H01024
2731,JAMNAAUTO,JAMNAAUTOEQN,Jamna Auto Industries Limited,INE039C01032
2732,COCHINSHIP,COCHINSHIPEQN,Cochin Shipyard Limited,INE704P01025
2733,GMMPFAUDLR,GMMPFAUDLREQN,GMM Pfaudler Limited,INE541A01023
2734,MTARTECH,MTARTECHEQN,Mtar Technologies Limited,INE864I01014
2735,MAITHANALL,MAITHANALLEQN,Maithan Alloys Limited,INE683C01011
2736,SHREECEM,SHREECEMEQN,SHREE CEMENT LIMITED,INE070A01015
2737,MRF,MRFEQN,MRF Limited,INE883A01011
2738,CAMPUS,CAMPUSEQN,Campus Activewear Limited,INE278Y01022
2739,BAYERCROP,BAYERCROPEQN,Bayer Cropscience Limited,INE462A01022
2740,BAJAJHLDNG,BAJAJHLDNGEQN,Bajaj Holdings & Investment Limited,INE118A01012
2741,3MINDIA,3MINDIAEQN,3M India Limited,INE470A01017
2742,SHARDAMOTR,SHARDAMOTREQN,Sharda Motor Industries Limited,INE597I01028
2743,CSBBANK,CSBBANKEQN,CSB Bank Limited,INE679A01013
2744,HAVELLS,HAVELLSEQN,Havells India Limited,INE176B01034
2745,CONCORDBIO,CONCORDBIOEQN,Concord Biotech Limited,INE338H01029
2746,INGERRAND,INGERRANDEQN,Ingersoll Rand (India) Limited,INE177A01018
2747,DOMS,DOMSEQN,DOMS Industries Limited,INE321T01012
2748,PNCINFRA,PNCINFRAEQN,PNC Infratech Limited,INE195J01029
2749,UNIONBANK,UNIONBANKEQN,Union Bank of India,INE692A01016
2750,GSPL,GSPLEQN,Gujarat State Petronet Limited,INE246F01010
2751,MUTHOOTMF,MUTHOOTMFEQN,Muthoot Microfin Limited,INE046W01019
2752,BORORENEW,BORORENEWEQN,BOROSIL RENEWABLES LIMITED,INE666D01022
2753,APLLTD,APLLTDEQN,Alembic Pharmaceuticals Limited,INE901L01018
2754,CARTRADE,CARTRADEEQN,Cartrade Tech Limited,INE290S01011
2755,TMB,TMBEQN,Tamilnad Mercantile Bank Limited,INE668A01016
2756,SULA,SULAEQN,Sula Vineyards Limited,INE142Q01026
2757,SUNDRMFAST,SUNDRMFASTEQN,Sundram Fasteners Limited,INE387A01021
2758,JCHAC,JCHACEQN,Johnson Controls - Hitachi Air Conditioning India Limited,INE782A01015
2759,BRITANNIA,BRITANNIAEQN,Britannia Industries Limited,INE216A07052
2760,JYOTHYLAB,JYOTHYLABEQN,Jyothy Labs Limited,INE668F01031
2761,NYKAA,NYKAAEQN,FSN E-Commerce Ventures Limited,INE388Y01029
2762,OLECTRA,OLECTRAEQN,Olectra Greentech Limited,INE260D01016
2763,SANSERA,SANSERAEQN,Sansera Engineering Limited,INE953O01021
2764,COFORGE,COFORGEEQN,Coforge Limited,INE591G01017
2765,MSTCLTD,MSTCLTDEQN,Mstc Limited,INE255X01014
2766,INDIASHLTR,INDIASHLTREQN,India Shelter Finance Corporation Limited,INE922K01024
2767,SOUTHBANK,SOUTHBANKEQN,The South Indian Bank Limited,INE683A01023
2768,LGBBROSLTD,LGBBROSLTDEQN,LG Balakrishnan & Bros Limited,INE337A01034
2769,TATAINVEST,TATAINVESTEQN,Tata Investment Corporation Limited,INE672A13013
2770,KALAMANDIR,KALAMANDIREQN,Sai Silks (Kalamandir) Limited,INE438K01021
2771,SUNTECK,SUNTECKEQN,Sunteck Realty Limited,INE805D01034
2772,ERIS,ERISEQN,Eris Lifesciences Limited,INE406M01024
2773,PRINCEPIPE,PRINCEPIPEEQN,Prince Pipes And Fittings Limited,INE689W01016
2774,KIRLOSENG,KIRLOSENGEQN,Kirloskar Oil Engines Limited,INE146L01010
2775,BATAINDIA,BATAINDIAEQN,Bata India Limited,INE176A01028
2776,UTKARSHBNK,UTKARSHBNKEQN,Utkarsh Small Finance Bank Limited,INE735W01017
2777,CCL,CCLEQN,CCL Products (India) Limited,INE421D01022
2778,KSB,KSBEQN,Ksb Limited,INE999A01023
2779,NAVINFLUOR,NAVINFLUOREQN,Navin Fluorine International Limited,INE048G01026
2780,360ONE,360ONEEQN,360 ONE WAM LIMITED,INE466L01038
2781,MARICO,MARICOEQN,Marico Limited,INE196A01026
2782,ZYDUSLIFE,ZYDUSLIFEEQN,Zydus Lifesciences Limited,INE010B01027
2783,LTTS,LTTSEQN,L&T Technology Services Limited,INE010V01017
2784,NH,NHEQN,Narayana Hrudayalaya Ltd.,INE410P01011
2785,HINDWAREAP,HINDWAREAPEQN,Hindware Home Innovation Limited,INE05AN01011
2786,KIMS,KIMSEQN,Krishna Institute of Medical Sciences Limited,INE967H01017
2787,BDL,BDLEQN,Bharat Dynamics Limited,INE171Z01026
2788,NEULANDLAB,NEULANDLABEQN,Neuland Laboratories Limited,INE794A01010
2789,GREENPANEL,GREENPANELEQN,Greenpanel Industries Limited,INE08ZM01014
2790,BOSCHLTD,BOSCHLTDEQN,Bosch Limited,INE323A01026
2791,RAMKY,RAMKYEQN,Ramky Infrastructure Limited,INE874I01013
2792,BANKINDIA,BANKINDIAEQN,Bank of India,INE084A01016
2793,AMBER,AMBEREQN,Amber Enterprises India Limited,INE371P01015
2794,FCL,FCLEQN,Fineotex Chemical Limited,INE045J01026
2795,TATACONSUM,TATACONSUMEQN,TATA CONSUMER PRODUCTS LIMITED,INE192A01025
2796,JKPAPER,JKPAPEREQN,JK Paper Limited,INE789E01012
2797,J&KBANK,J&KBANKEQN,The Jammu & Kashmir Bank Limited,INE168A01041
2798,NRBBEARING,NRBBEARINGEQN,NRB Bearing Limited,INE349A01021
2799,LANDMARK,LANDMARKEQN,Landmark Cars Limited,INE559R01029
2800,TEJASNET,TEJASNETEQN,Tejas Networks Limited,INE010J01012
2801,ENGINERSIN,ENGINERSINEQN,Engineers India Limited,INE510A01028
2802,INTELLECT,INTELLECTEQN,Intellect Design Arena Limited,INE306R01017
2803,CGPOWER,CGPOWEREQN,CG Power and Industrial Solutions Limited,INE067A01029
2804,ITDCEM,ITDCEMEQN,ITD Cementation India Limited,INE686A01026
2805,RTNPOWER,RTNPOWEREQN,RattanIndia Power Limited,INE399K01017
2806,JUBLFOOD,JUBLFOODEQN,Jubilant Foodworks Limited,INE797F01020
2807,IEX,IEXEQN,Indian Energy Exchange Limited,INE022Q01020
2808,HAPPSTMNDS,HAPPSTMNDSEQN,Happiest Minds Technologies Limited,INE419U01012
2809,LODHA,LODHAEQN,Macrotech Developers Limited,INE670K01029
2810,SPARC,SPARCEQN,Sun Pharma Advanced Research Company Limited,INE232I01014
2811,SHILPAMED,SHILPAMEDEQN,Shilpa Medicare Limited,INE790G01031
2812,VARROC,VARROCEQN,Varroc Engineering Limited,INE665L01035
2813,SAFARI,SAFARIEQN,Safari Industries (India) Limited,INE429E01023
2814,WSTCSTPAPR,WSTCSTPAPREQN,West Coast Paper Mills Limited,INE976A01021
2815,PAGEIND,PAGEINDEQN,Page Industries Limited,INE761H01022
2816,DABUR,DABUREQN,Dabur India Limited,INE016A01026
2817,JAICORPLTD,JAICORPLTDEQN,Jai Corp Limited,INE070D01027
2818,JLHL,JLHLEQN,Jupiter Life Line Hospitals Limited,INE682M01012
2819,NIITMTS,NIITMTSEQN,NIIT Learning Systems Limited,INE342G01023
2820,ICICIGI,ICICIGIEQN,ICICI Lombard General Insurance Company Limited,INE765G01017
2821,MAZDOCK,MAZDOCKEQN,Mazagon Dock Shipbuilders Limited,INE249Z01012
2822,HATHWAY,HATHWAYEQN,Hathway Cable & Datacom Limited,INE982F01036
2823,AJANTPHARM,AJANTPHARMEQN,Ajanta Pharma Limited,INE031B01049
2824,FINPIPE,FINPIPEEQN,Finolex Industries Limited,INE183A01024
2825,TRITURBINE,TRITURBINEEQN,Triveni Turbine Limited,INE152M01016
2826,ESAFSFB,ESAFSFBEQN,ESAF Small Finance Bank Limited,INE818W01011
2827,THOMASCOOK,THOMASCOOKEQN,Thomas Cook  (India)  Limited,INE332A04021
2828,GESHIP,GESHIPEQN,The Great Eastern Shipping Company Limited,INE017A01032
2829,PATELENG,PATELENGEQN,Patel Engineering Limited,INE244B01030
2830,QUESS,QUESSEQN,Quess Corp Limited,INE615P01015
2831,GRINFRA,GRINFRAEQN,G R Infraprojects Limited,INE201P01022
2832,BALMLAWRIE,BALMLAWRIEEQN,Balmer Lawrie & Company Limited,INE164A01016
2833,HINDUNILVR,HINDUNILVREQN,Hindustan Unilever Limited,INE030A01027
2834,BEML,BEMLEQN,BEML Limited,INE258A01016
2835,IOLCP,IOLCPEQN,IOL Chemicals and Pharmaceuticals Limited,INE485C01011
2836,ICIL,ICILEQN,Indo Count Industries Limited,INE483B01026
2837,ACCELYA,ACCELYAEQN,Accelya Solutions India Limited,INE793A01012
2838,SURYAROSNI,SURYAROSNIEQN,Surya Roshni Limited,INE335A01020
2839,FUSION,FUSIONEQN,Fusion Micro Finance Limited,INE139R01012
2840,IRFC,IRFCEQN,Indian Railway Finance Corporation Limited,INE053F07561
2841,ANGELONE,ANGELONEEQN,Angel One Limited,INE732I01013
2842,KOLTEPATIL,KOLTEPATILEQN,Kolte - Patil Developers Limited,INE094I01018
2843,SPLPETRO,SPLPETROEQN,Supreme Petrochem Limited,INE663A01033
2844,SARDAEN,SARDAENEQN,Sarda Energy & Minerals Limited,INE385C01021
2845,KRBL,KRBLEQN,KRBL Limited,INE001B01026
2846,VIPIND,VIPINDEQN,VIP Industries Limited,INE054A01027
2847,CHEMPLASTS,CHEMPLASTSEQN,Chemplast Sanmar Limited,INE488A01050
2848,AXISBANK,AXISBANKEQN,Axis Bank Limited,INE238A01034
2849,CIGNITITEC,CIGNITITECEQN,Cigniti Technologies Limited,INE675C01017
2850,RPOWER,RPOWEREQN,Reliance Power Limited,INE614G01033
2851,PVRINOX,PVRINOXEQN,PVR INOX Limited,INE191H01014
2852,WESTLIFE,WESTLIFEEQN,WESTLIFE FOODWORLD LIMITED,INE274F01020
2853,HEIDELBERG,HEIDELBERGEQN,HeidelbergCement India Limited,INE578A01017
2854,HDFCBANK,HDFCBANKEQN,HDFC Bank Limited,INE040A13013
2855,STARHEALTH,STARHEALTHEQN,Star Health and Allied Insurance Company Limited,INE575P01011
2856,LXCHEM,LXCHEMEQN,Laxmi Organic Industries Limited,INE576O01020
2857,KAJARIACER,KAJARIACEREQN,Kajaria Ceramics Limited,INE217B01036
2858,ELECTCAST,ELECTCASTEQN,Electrosteel Castings Limited,INE086A13016
2859,GUJGASLTD,GUJGASLTDEQN,Gujarat Gas Limited,INE844O01030
2860,KANSAINER,KANSAINEREQN,Kansai Nerolac Paints Limited,INE531A01024
2861,EVEREADY,EVEREADYEQN,Eveready Industries India Limited,INE128A01029
2862,INDOCO,INDOCOEQN,Indoco Remedies Limited,INE873D01024
2863,VRLLOG,VRLLOGEQN,VRL Logistics Limited,INE366I01010
2864,JKCEMENT,JKCEMENTEQN,JK Cement Limited,INE823G01014
2865,TATATECH,TATATECHEQN,Tata Technologies Limited,INE142M01025
2866,MARKSANS,MARKSANSEQN,Marksans Pharma Limited,INE750C01026
2867,NESTLEIND,NESTLEINDEQN,Nestle India Limited,INE239A01024
2868,IDFCFIRSTB,IDFCFIRSTBEQN,IDFC First Bank Limited,INE092T08CP8
2869,ACE,ACEEQN,Action Construction Equipment Limited,INE731H01025
2870,HBLPOWER,HBLPOWEREQN,HBL Power Systems Limited,INE292B01021
2871,PPLPHARMA,PPLPHARMAEQN,Piramal Pharma Limited,INE0DK501011
2872,MASFIN,MASFINEQN,MAS Financial Services Limited,INE348L01012
2873,WOCKPHARMA,WOCKPHARMABEN,Wockhardt Limited,INE049B01025
2874,LEMONTREE,LEMONTREEEQN,Lemon Tree Hotels Limited,INE970X01018
2875,COROMANDEL,COROMANDELEQN,Coromandel International Limited,INE169A08010
2876,OFSS,OFSSEQN,Oracle Financial Services Software Limited,INE881D01027
2877,FEDFINA,FEDFINAEQN,Fedbank Financial Services Limited,INE007N01010
2878,IOC,IOCEQN,Indian Oil Corporation Limited,INE242A01010
2879,CENTURYPLY,CENTURYPLYEQN,Century Plyboards (India) Limited,INE348B01021
2880,IKIO,IKIOEQN,IKIO Lighting Limited,INE0LOJ01019
2881,CGCL,CGCLEQN,Capri Global Capital Limited,INE180C01042
